"usageclass","checkouttype","materialtype","checkoutyear","checkoutmonth","checkouts","title","creator","subjects","publisher","publicationyear"
"Digital","OverDrive","EBOOK","2020","1","4","The Men Who United the States: America's Explorers, Inventors, Eccentrics and Mavericks, and the Creation of One Nation, Indivisible","Simon Winchester","Biography & Autobiography, History, Nonfiction","HarperCollins Publishers Inc.","2013"
"Digital","OverDrive","EBOOK","2020","1","1","Instant Gratification: Wilder Adventures Series, Book 2","Jill Shalvis","Fiction, Romance","Kensington Publishing Corp.","2011"
"Physical","Horizon","BOOK","2020","1","6","A whole new mind : why right-brainers will rule the future / Daniel H. Pink.","Pink, Daniel H.","Creative thinking, Success Psychological aspects, BUSINESS ECONOMICS Decision Making Problem Solving, BUSINESS ECONOMICS Personal Success, PSYCHOLOGY Creative Ability","Riverhead Books,","2006."
"Physical","Horizon","BOOK","2020","1","1","1,000 facts about the White House / Sarah Wassner Flynn ; foreword by Stewart D. McLaurin.","Flynn, Sarah Wassner","White House Washington D C Juvenile literature, Washington D C Buildings structures etc Juvenile literature","National Geographic Partners, LLC,","[2017]"
"Physical","Horizon","BOOK","2020","1","14","Out of my mind / Sharon M. Draper.","Draper, Sharon M. (Sharon Mills)","Cerebral palsy Juvenile fiction, People with disabilities Juvenile fiction, Communication Juvenile fiction, Interpersonal relations Juvenile fiction, Genius Juvenile fiction","Atheneum Books for Young Readers,","2010."
"Digital","OverDrive","AUDIOBOOK","2020","1","2","Labyrinths: Emma Jung, Her Marriage to Carl, and the Early Years of Psychoanalysis (unabridged) (Unabridged)","Catrine Clay","Biography & Autobiography, Nonfiction, Psychology","HarperCollins Publishers Inc.","2016"
"Physical","Horizon","BOOK","2020","1","9","The Everything guide to intermittent fasting : features 5:2, 16/8, and weekly 24-hour fast plans / Lindsay Boyers.","Boyers, Lindsay","Fasting, Diet, Nutrition","Adams Media,","[2018]"
"Physical","Horizon","BOOK","2020","1","1","Shakespeare : the invention of the human / Harold Bloom.","Bloom, Harold","Shakespeare William 1564 1616 Characters, Shakespeare William 1564 1616 Knowledge Psychology, Characters and characteristics in literature, Drama Psychological aspects, Personality in literature, Humanism in literature","Riverhead Books,","1998."
"Digital","OverDrive","AUDIOBOOK","2020","1","8","Flat Broke with Two Goats: A Memoir (unabridged) (Unabridged)","Jennifer McGaha","Biography & Autobiography, Nonfiction, Technology","Tantor Media, Inc","2018"
"Physical","Horizon","BOOK","2020","1","1","I'm too young for this! : the natural hormone solution to enjoy perimenopause / Suzanne Somers.","Somers, Suzanne, 1946-","Perimenopause Hormone therapy Popular works, Progesterone Therapeutic use Popular works, Middle aged women Health and hygiene Popular works","Harmony Books,","[2013]"
